Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
601,87.814,75.503,-0.001,0.188
602,88.115,73.24,-0.001,0.188
603,88.37,70.952,-0.001,0.188
604,88.65,68.82,-0.001,0.188
605,88.959,66.969,0,0.188
606,89.221,65.401,0,0.187
607,89.481,64.229,0,0.187
608,89.704,63.477,-0.001,0.188
609,89.894,63.169,-0.001,0.188
610,90.026,63.279,-0.001,0.188
611,90.139,63.822,0,0.188
612,90.219,64.772,-0.001,0.189
613,90.334,66.163,-0.001,0.19
614,90.346,67.849,-0.001,0.19
615,90.407,69.859,0,0.19
616,90.397,72.073,0,0.188
617,90.434,74.451,0,0.187
618,90.399,76.841,-0.001,0.188
619,90.293,79.117,0,0.189
620,90.181,81.223,0,0.189
621,90.095,82.99,0,0.188
622,90.025,84.32,0,0.188
623,89.845,85.058,0,0.189
624,89.603,85.219,-0.001,0.189
625,89.365,84.812,-0.001,0.19
626,89.118,83.808,-0.001,0.191
627,88.899,82.362,-0.001,0.19
628,88.638,80.481,-0.001,0.191
629,88.397,78.484,0,0.191
630,88.145,76.363,0,0.191
631,87.87,74.232,0,0.19
632,87.593,72.118,0,0.19
633,87.272,70.195,0,0.191
634,86.936,68.529,0,0.192
635,86.583,67.169,0,0.191
636,86.242,66.069,-0.001,0.19
637,85.916,65.337,-0.001,0.19
638,85.556,64.887,-0.001,0.192
639,85.158,64.786,-0.001,0.192
640,84.776,64.988,0,0.192
641,84.469,65.56,0,0.191
642,84.155,66.455,0,0.192
643,83.796,67.6,-0.001,0.19
644,83.388,69.026,-0.001,0.19
645,83.047,70.708,-0.001,0.189
646,82.735,72.615,-0.001,0.19
647,82.447,74.628,-0.001,0.19
648,82.151,76.764,-0.001,0.191
649,81.851,78.909,-0.001,0.191
650,81.524,81.023,-0.001,0.19
651,81.164,82.901,0,0.19
652,80.877,84.557,0,0.191
653,80.614,85.909,-0.001,0.193
654,80.325,86.834,0,0.194
655,79.994,87.325,0,0.195
656,79.69,87.364,0,0.195
657,79.494,86.961,-0.001,0.194
658,79.317,86.158,0,0.193
659,79.12,84.982,0,0.193
660,78.844,83.399,-0.001,0.193
661,78.63,81.604,0,0.195
662,78.431,79.595,0,0.194
663,78.288,77.626,0,0.195
664,78.098,75.676,-0.001,0.194
665,77.938,73.811,-0.001,0.193
